Model,Accuracy,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1
Logistic_Regression,0.8526231042061057,0.8668172072441951,0.9760125330662353,0.9181797315744331,0.5583924349881797,0.16823361823361824,0.25856595511767927
Linear_SVM,0.8518615227277673,0.8571079248638435,0.990240645144721,0.918877052501132,0.6090534979423868,0.08433048433048433,0.14814814814814814
Gradient_Boosting,0.8549948865243597,0.8676996695909764,0.977964404037291,0.9195382869285939,0.5859073359073359,0.17293447293447292,0.26704795424549055
